Date,SKU Number,SKU Name,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,City,Sales (Qty) - Units,MRP,Gross Merchandise Value
12-03-2026,bc678b3b-ef62-4ac1-b2a5-130cd678cc02,Nourish You Chocolate Protein Oats 1.0 KILOGRAM,8908022410543,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,1,675,675
12-03-2026,0fac0b0f-f2a2-46bc-8e37-d2790ce35b60,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal 500.0 GRAM",8908005459958,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Hyderabad,2,199,398
12-03-2026,42f063c0-f709-4837-92be-2841bd46298a,Nourish You Pumpkin Seeds 250.0 GRAM,,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,1,469,469
12-03-2026,6f369cf5-5f44-420f-a07c-2855dd4df71e,Nourish You Plant Based Milk - Chocolate 200.0 MILLILITRE,8908005459798,Cold Drinks & Juices,Vegan Drinks,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,2,59,118
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Chennai,2,95,190
12-03-2026,96bab3c6-8143-449b-93a3-8774d59ac430,Nourish You Plant Protein - Chocolate 500.0 GRAM,8908022410710,Protein & Nutrition,Plant & Vegan Protein,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,1,1699,1699
12-03-2026,72e2abc7-9612-4da5-bd15-e66d1a94a67f,Nourish You Flax Seeds - Alsi Seeds | Truly Organic Flax Seeds for Hair Growth 250.0 GRAM,8908022410048,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Bengaluru,11,95,1045
12-03-2026,8b81cda2-1695-4e7a-be76-6e5bd2f4cfd8,"Nourish You Jumbo Rolled Oats - Gluten free , Breakfast Cereal Jar 1.0 KILOGRAM",8908022410185,Breakfast & Sauces,Muesli & Oats,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Pune,9,399,3591
12-03-2026,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,5,235,1175
12-03-2026,9125d283-ad34-4a9d-ac0f-ea756c7ee7e1,NOURISH YOU Organic Sunflower Seeds Sunflower Seeds - Raw Sunflower Seeds for Eating 250.0 GRAM,8908022410055,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Mumbai,2,235,470
12-03-2026,5b8fc10e-bd36-4768-8fc1-5b8bcf66ac73,Nourish You Antioxidant Boost 7 in 1 Super Seed Mix 100.0 GRAM,8908005459989,"Masala, Dry Fruits & More",Dates & Seeds,Nourish You,Nutrivative Foods Pvt Ltd,b5e206a7-39f2-49ce-b787-e107e9d8f8af,Delhi,6,125,750
