State,Campaign name,Status,Type,Targeting,Campaign start date,Campaign end date,Campaign budget amount (converted),Campaign budget amount,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS
ENABLED,DG_G_SPM White Quinoa 5KG GKW Phrase/Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,18/11/2023,,₹50.00,₹50.00,<5%,0.20,13,0.0030,₹378.36,₹378.36,₹29.10,₹29.10,3,"₹1,647.62","₹1,647.62",0.2296,4.354635796595834
ENABLED,DG_G_OLD_MK_SPM Rolled Oats 1.2KG GKW Phrase/ Broad/ Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,26/02/2024,,₹50.00,₹50.00,<5%,0.40,73,0.0109,"₹1,164.27","₹1,164.27",₹15.95,₹15.95,20,"₹4,718.07","₹4,718.07",0.2468,4.052384756113272
ENABLED,DG_G_SPM Pumpkin Seeds 500G GKW Phrase,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,19/09/2024,,₹50.00,₹50.00,<5%,0.30,58,0.0048,"₹1,561.62","₹1,561.62",₹26.92,₹26.92,14,"₹6,193.32","₹6,193.32",0.2521,3.9659584277865294
ENABLED,DG_G_SPM Pumpkin Seeds 1kg(Jar) GKW Phrase,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,15/03/2025,,₹50.00,₹50.00,8.72%,0.40,106,0.0057,"₹3,624.56","₹3,624.56",₹34.19,₹34.19,17,"₹13,510.44","₹13,510.44",0.2683,3.7274703688171806
ENABLED,DG_G_SPM Flax seed 500G GKW Phrase/Broad,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,03/11/2023,,₹50.00,₹50.00,<5%,0.05,8,0.0125,₹190.16,₹190.16,₹23.77,₹23.77,3,₹695.22,₹695.22,0.2735,3.655973916701725
ENABLED,Amazon Now ASINs | SP | Auto | 2025-01 f15d1b,ADVERTISER_PAYMENT_FAILURE,SP,AUTOMATIC,13/01/2026,,₹50.00,₹50.00,<5%,0.15,85,0.0061,₹856.44,₹856.44,₹10.08,₹10.08,11,"₹3,087.61","₹3,087.61",0.2774,3.605167904348232
ENABLED,DG_G_SPM Sunflower Seeds Keyword,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,15/07/2024,,₹50.00,₹50.00,12.19%,0.30,77,0.0153,"₹1,776.93","₹1,776.93",₹23.08,₹23.08,31,"₹6,013.32","₹6,013.32",0.2955,3.3841062956897567
ENABLED,DG_G_SPM White Quinoa 1KG GKW Phrase/Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,27/09/2023,,₹50.00,₹50.00,15.21%,0.40,74,0.0127,"₹1,916.98","₹1,916.98",₹25.91,₹25.91,24,"₹6,299.96","₹6,299.96",0.3043,3.2863983974793687
ENABLED,DG_G_SPCAT Watermelon,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,04/07/2025,,₹50.00,₹50.00,<5%,0.20,8,0.0105,₹214.57,₹214.57,₹26.82,₹26.82,2,₹665.70,₹665.70,0.3223,3.102484037843128
ENABLED,DG_G_SPM White Quinoa 2KG GKW Phrase/Exact,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,05/02/2024,,₹50.00,₹50.00,23.20%,0.30,146,0.0167,"₹5,466.62","₹5,466.62",₹37.44,₹37.44,31,"₹16,947.62","₹16,947.62",0.3226,3.1002008553731555
ENABLED,DG_G_SPM Seeds Combo Pack 1kg GKW Phrase,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,17/02/2025,,₹50.00,₹50.00,<5%,0.30,56,0.0083,₹852.77,₹852.77,₹15.23,₹15.23,4,"₹2,552.30","₹2,552.30",0.3341,2.9929523787187637
ENABLED,DG_G_SPT Pumpkin Seeds 1kg(Jar) Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,20/03/2025,,₹50.00,₹50.00,<5%,0.34,37,0.0114,"₹1,250.30","₹1,250.30",₹33.79,₹33.79,5,"₹3,699.99","₹3,699.99",0.3379,2.95928177237463
ENABLED,SPM Black Chia Seed 250G GKW Exact EV,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,01/09/2023,,₹50.00,₹50.00,<5%,0.40,50,0.0124,"₹1,041.95","₹1,041.95",₹20.84,₹20.84,18,"₹3,047.63","₹3,047.63",0.3419,2.9249292192523635
ENABLED,DG_G_SPT  Pumpkin Seeds  500G  Product,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,07/01/2025,,₹50.00,₹50.00,<5%,0.30,6,0.0163,₹214.79,₹214.79,₹35.80,₹35.80,2,₹617.14,₹617.14,0.3480,2.873225010475348
ENABLED,DG_G_SPM Steel Cut Oats 2KG GKW Phrase,ADVERTISER_PAYMENT_FAILURE,SP,MANUAL,03/06/2023,,₹50.00,₹50.00,<5%,0,97,0.0072,"₹1,761.41","₹1,761.41",₹18.16,₹18.16,12,"₹4,809.52","₹4,809.52",0.3662,2.730494319891451
